date,total_bgc_profiles,dmqc_bgc_profiles,percent_dmqc,adjusted_doxy_profiles,percent_adjusted,eligible_profiles
2023-04-19,6108,824,13.490504256712509,,,
2023-04-20,6112,824,13.481675392670157,,,
2023-04-21,6115,824,13.47506132461161,,,
2023-04-22,6118,824,13.468453743053285,,,
2023-04-24,6125,824,13.453061224489796,,,
2023-04-25,6127,824,13.448669822098907,,,
2023-04-26,6129,824,13.444281285690977,,,
2023-04-27,6132,824,13.437703848662753,,,
2023-04-28,6135,824,13.431132844335778,,,
2023-04-29,6139,824,13.42238149535755,,,
2023-04-30,6143,824,13.413641543219924,,,
2023-05-01,6145,824,13.40927583401139,,,
2023-05-02,6147,824,13.404912965674313,,,
2023-05-03,6149,824,13.400552935436655,,,
2023-05-04,6149,824,13.400552935436655,,,
2023-05-05,6149,824,13.400552935436655,,,
2023-05-06,6156,824,13.385315139701104,,,
2023-05-07,6159,824,13.378795258970612,,,
2023-05-08,6160,824,13.376623376623376,,,
2023-05-09,6164,824,13.36794289422453,,,
2023-05-10,6168,824,13.359273670557718,,,
2023-05-11,6169,824,13.357108121251418,,,
2023-05-12,6172,824,13.350615683732988,,,
2023-05-13,6181,824,13.33117618508332,,,
2023-05-14,6182,824,13.329019734713684,,,
2023-05-15,6186,824,13.320400905269965,,,
2023-05-16,6190,824,13.311793214862682,,,
2023-05-17,6191,824,13.309643030205136,,,
2023-05-18,6194,824,13.303196641911526,,,
2023-05-19,6198,824,13.2946111648919,,,
2023-05-20,6204,824,13.281753707285622,,,
2023-05-21,6204,824,13.281753707285622,,,
2023-05-22,6206,824,13.277473412826296,,,
2023-05-23,6209,824,13.271058141407634,,,
2023-05-24,6215,824,13.25824617860016,,,
2023-05-25,6222,824,13.24333011893282,,,
2023-05-26,6274,824,13.133567102327063,,,
2023-05-27,6279,824,13.123108775282688,,,
2023-05-28,6280,824,13.121019108280255,,,
2023-05-29,6282,824,13.1168417701369,,,
2023-05-30,6290,824,13.100158982511923,,,
2023-05-31,6290,824,13.100158982511923,,,
2023-06-01,6292,824,13.095994914176732,,,
2023-06-02,6295,824,13.089753772835584,,,
2023-06-03,6296,824,13.087674714104192,,,
2023-06-04,6301,824,13.077289319155689,,,
2023-06-05,6301,824,13.077289319155689,,,
2023-06-06,6306,824,13.066920393276245,,,
2023-06-07,6306,824,13.066920393276245,,,
